var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
f,g,e,j,a,a,g,d,a,b,i,o,o,m,a,n,e,m,h,o,i,d,e,o,j,c,o,i,a,i,c,g,m,c,e,g,k,a,g,m,a,a,m,l,n,o,f,b,o,d
l,i,n,g,a,i,b,m,e,k,i,b,b,b,k,c,m,n,l,g,e,b,g,a,o,n,h,g,n,a,i,l,f,l,b,j,b,n,g,h,m,a,d,j,c,f,l,o,j,m
k,o,l,e,a,h,m,m,a,h,f,h,d,e,c,e,h,n,o,b,i,a,c,m,f,n,a,n,h,o,g,g,h,o,j,d,k,f,i,i,a,m,g,k,j,g,b,g,n,a
o,a,b,h,o,c,m,n,e,k,b,o,h,b,j,c,m,o,m,m,o,g,b,n,b,g,b,g,m,e,c,n,j,j,d,k,a,f,a,a,m,a,j,k,m,f,i,g,m,g
n,d,d,c,f,m,o,a,c,j,c,o,c,k,l,o,m,o,e,n,h,n,n,o,i,k,f,d,j,d,l,k,m,e,o,a,e,i,i,o,o,f,i,f,j,h,a,j,b,l
k,o,m,f,k,d,a,m,f,b,b,m,b,n,o,n,g,m,f,g,e,k,n,m,c,l,g,e,i,b,c,i,h,e,a,c,g,c,g,j,n,f,a,n,m,j,b,e,l,a
n,e,o,n,f,j,o,k,o,e,a,f,l,a,f,n,c,a,h,k,o,e,e,b,e,m,m,l,o,o,j,f,e,i,l,c,e,a,d,o,a,k,k,m,a,j,o,f,e,d
o,g,a,o,a,l,a,j,d,g,f,o,m,l,i,m,c,n,m,a,j,a,a,k,b,j,b,c,a,b,e,e,e,g,o,b,h,i,h,b,i,k,i,a,g,m,o,o,e,h
c,k,i,b,a,c,j,k,n,i,e,c,a,e,j,k,d,i,a,n,n,j,g,a,e,e,i,n,k,c,h,j,l,a,b,m,g,c,n,k,c,l,j,k,k,k,j,k,e,k
l,i,g,h,d,n,h,m,f,d,c,a,g,n,i,i,c,b,i,n,a,f,l,j,k,o,i,h,o,c,b,h,e,b,o,i,a,i,b,a,l,b,h,d,l,e,c,h,a,d
