var_1,var_2,var_3,var_4,var_5
c,e,b,a,a
f,e,e,a,e
e,f,b,f,d
e,b,e,c,a
a,a,e,a,f
a,c,d,b,f
e,a,a,f,d
c,a,a,a,d
d,e,d,e,e
e,a,b,e,b
a,f,c,f,a
d,e,b,d,f
a,a,c,e,d
f,c,b,f,a
d,d,d,a,f
a,d,a,b,d
b,f,a,e,f
d,e,b,c,a
b,c,a,d,f
f,d,e,e,e
b,e,a,b,b
d,f,e,b,f
e,d,e,a,d
e,e,a,a,c
b,c,f,e,b
b,c,b,a,e
c,a,d,f,c
f,d,b,b,f
b,b,e,d,b
e,b,f,f,b
d,d,f,a,f
e,c,f,d,f
c,d,a,a,b
d,d,a,f,d
d,e,a,b,f
a,b,c,b,c
f,f,f,d,e
e,a,b,d,f
d,a,e,b,e
c,a,d,c,b
b,f,d,b,d
c,d,b,a,c
d,d,b,c,e
e,b,b,b,e
c,b,a,e,b
d,a,d,e,b
b,e,e,e,a
e,b,c,a,b
c,a,e,e,d
b,c,b,c,e
d,b,c,d,e
e,e,f,e,a
e,c,c,d,f
c,b,f,e,c
c,b,a,d,b
d,b,c,c,d
e,e,d,f,f
f,d,f,e,d
d,e,e,b,b
b,d,e,d,d
b,b,c,b,c
d,a,d,f,c
b,b,a,e,f
c,f,d,e,d
e,c,a,c,e
c,e,d,a,b
b,d,d,f,e
e,d,e,b,d
d,d,d,a,d
e,a,a,b,c
a,b,f,a,d
f,e,e,d,a
c,e,f,e,e
b,a,d,b,b
b,a,a,c,e
f,b,b,a,b
c,a,b,b,d
a,d,f,d,b
c,b,a,a,a
b,b,f,b,d
d,e,a,c,b
d,b,f,c,d
c,c,a,f,e
e,d,b,e,a
f,e,c,d,e
b,f,e,f,e
c,c,a,f,d
f,f,e,c,b
c,f,d,d,a
a,f,e,e,d
b,d,c,d,d
e,e,e,b,b
a,d,a,c,c
a,b,b,f,c
a,c,b,f,c
a,a,a,a,a
b,c,c,b,b
f,b,a,a,e
d,c,e,f,f
c,a,d,c,d
c,a,d,c,b
e,b,a,d,a
d,d,d,e,e
f,b,a,a,f
c,c,b,d,f
b,c,e,a,c
a,a,a,f,d
f,c,d,d,e
f,c,a,e,b
e,a,d,d,d
