var_1,var_2,var_3,var_4,var_5,var_6
c,a,d,d,c,e
a,b,b,f,e,b
a,e,a,d,d,d
f,d,b,e,c,c
e,d,e,c,e,b
a,a,c,c,f,a
d,d,f,c,c,d
d,a,f,c,a,f
e,b,d,a,b,e
d,b,e,c,e,e
f,d,d,b,f,e
d,b,a,f,f,f
e,d,d,c,f,e
d,b,d,d,f,c
c,c,c,c,d,d
a,a,f,e,b,f
a,b,e,f,e,f
c,e,e,e,d,b
a,b,e,b,a,e
f,b,e,e,d,e
c,d,d,b,c,f
b,d,b,d,d,d
c,e,b,f,a,f
e,e,f,d,e,b
d,d,f,b,d,e
b,d,d,c,e,b
b,b,e,e,e,c
a,d,a,a,e,f
a,b,a,e,d,a
d,e,b,e,f,d
a,a,f,e,b,b
b,e,a,c,e,c
c,a,f,b,c,e
c,a,f,d,f,c
f,d,e,c,f,f
d,c,c,c,f,d
d,f,c,a,f,e
f,f,f,c,f,a
b,e,f,e,c,d
d,c,e,e,b,a
a,c,a,b,c,e
b,d,a,f,c,f
e,f,b,a,c,a
b,a,f,f,c,c
b,f,c,a,a,e
a,e,f,d,b,d
f,a,a,a,e,d
b,e,b,f,e,f
f,c,e,b,b,f
a,b,e,d,e,c
d,a,a,e,c,c
f,f,f,e,a,f
a,b,f,f,e,f
c,d,e,d,a,a
d,a,d,c,f,a
c,d,f,c,b,c
b,b,d,a,f,a
a,d,b,b,f,b
b,f,d,d,e,f
a,a,b,b,c,a
a,d,e,b,a,f
c,f,a,f,d,b
e,c,f,b,f,f
c,f,d,b,d,f
f,b,e,c,c,d
f,d,f,e,a,d
b,f,d,d,a,d
d,e,c,a,f,d
c,b,e,f,f,b
d,e,a,d,d,e
f,c,e,f,f,d
e,f,f,d,f,c
c,f,c,a,c,c
d,a,b,a,e,d
b,f,e,b,d,f
e,f,f,c,a,a
b,e,f,a,c,b
b,f,b,e,f,f
a,d,e,b,e,a
c,d,c,f,f,e
a,a,b,b,b,b
a,b,b,f,b,d
c,e,f,b,c,c
d,f,a,c,c,d
b,a,f,b,c,b
c,f,c,c,c,b
a,c,b,a,e,f
b,d,e,b,c,f
e,f,f,c,e,a
f,a,d,e,c,c
d,c,d,b,d,c
f,e,f,d,b,a
b,e,f,e,e,b
e,b,e,e,d,d
a,c,a,e,d,e
c,d,a,f,f,a
f,a,a,b,b,a
a,b,c,a,f,a
a,e,f,c,d,c
c,e,a,f,a,d
f,f,a,c,b,d
f,f,b,d,d,b
d,e,f,a,c,c
f,c,d,d,b,c
f,e,f,d,a,a
c,c,c,c,b,e
e,c,d,c,f,f
d,c,f,e,c,d
a,e,e,f,a,c
b,d,b,d,f,d
f,f,e,a,f,e
a,e,c,d,e,e
e,d,f,e,b,c
a,f,d,f,f,c
e,f,c,e,c,b
a,c,f,e,d,f
c,c,f,f,d,f
d,f,d,a,d,b
a,f,d,e,f,d
d,d,f,c,f,d
d,f,f,c,d,f
a,f,d,b,c,a
d,a,f,f,d,e
b,f,e,b,d,c
f,a,a,e,c,e
e,a,e,a,f,b
f,c,f,d,e,a
c,f,c,a,b,b
f,a,d,d,d,b
a,b,b,d,d,a
c,c,e,c,a,c
e,b,e,f,f,a
a,c,a,e,c,b
f,d,d,a,a,c
d,d,d,f,d,e
a,c,a,b,b,f
f,b,b,c,f,e
e,d,b,a,e,d
e,f,b,f,b,e
f,a,f,d,c,d
f,c,a,d,d,b
b,d,b,f,a,c
c,c,a,a,b,b
a,e,f,b,f,e
f,d,c,e,e,a
c,a,a,f,d,c
e,a,f,a,f,a
e,e,d,a,a,f
c,d,f,a,b,f
