var_1,var_2
c,d
d,a
d,b
d,c
b,c
b,d
c,b
c,b
b,d
b,b
b,c
d,c
c,c
d,b
c,b
d,c
b,c
d,b
d,b
a,c
a,a
c,d
c,a
a,a
a,b
a,d
a,a
a,c
d,c
c,b
b,d
c,a
b,c
a,a
a,c
a,a
c,b
a,c
c,c
c,b
b,b
d,b
d,c
a,d
d,c
d,c
a,d
d,b
b,a
d,d
b,a
c,a
a,d
b,b
b,a
a,d
b,b
c,c
c,d
b,c
a,c
b,a
a,b
b,c
b,c
a,a
c,d
c,d
d,a
c,b
a,d
c,a
c,a
c,b
d,d
b,b
a,d
a,a
b,a
b,a
a,a
b,c
a,a
d,b
d,d
c,d
c,b
d,b
a,a
d,c
c,b
c,c
b,b
a,a
c,c
d,b
a,b
c,d
d,a
d,b
b,a
a,b
b,a
d,d
d,b
c,d
c,c
a,c
c,b
d,c
c,c
a,a
c,a
d,d
c,c
c,d
a,c
d,a
a,c
c,d
c,b
d,d
b,b
b,c
a,c
d,c
c,c
c,c
a,b
c,b
c,c
d,b
b,d
d,a
a,a
a,d
d,d
a,c
c,d
a,d
b,c
c,b
c,d
d,b
b,d
a,b
c,a
c,b
c,c
d,d
d,a
c,d
b,b
b,d
d,a
a,b
c,b
d,d
c,b
c,a
c,c
c,a
c,d
d,d
b,c
c,b
b,d
a,b
b,a
a,b
a,c
c,b
c,d
a,b
a,c
c,a
d,d
c,b
d,c
d,c
b,b
a,a
b,a
d,a
d,a
d,b
c,c
c,b
a,c
d,b
b,c
a,a
c,b
d,c
a,b
d,c
a,a
c,d
b,c
d,c
c,a
b,c
a,d
d,a
d,c
a,c
a,b
c,d
c,b
a,a
c,a
c,a
b,c
a,b
d,d
b,c
d,a
b,b
d,a
d,b
c,a
a,d
d,b
d,c
b,a
a,b
d,d
a,b
d,a
b,a
a,b
c,a
b,d
d,d
b,d
d,d
c,b
a,d
b,d
b,b
b,b
c,b
c,c
c,c
c,a
b,a
b,a
c,a
a,b
c,d
a,c
c,a
b,c
a,c
a,c
a,b
c,a
b,a
b,b
a,a
a,a
d,d
d,d
c,a
c,a
b,c
d,a
b,b
d,c
c,a
c,d
c,b
d,b
c,c
a,b
d,a
c,a
a,d
b,b
d,c
d,a
c,a
a,b
c,b
c,d
b,d
d,d
d,a
c,b
c,c
a,c
b,c
a,a
a,d
a,c
c,a
a,d
d,b
c,d
c,b
d,c
c,c
b,d
d,d
a,b
d,a
c,d
a,c
b,c
d,c
c,d
b,a
a,d
a,c
a,a
d,c
c,b
d,c
b,c
b,b
a,a
c,a
c,d
b,b
b,a
b,d
b,a
a,d
a,a
d,a
d,d
b,d
b,b
c,a
d,b
d,b
a,d
b,a
c,c
c,c
c,b
b,d
c,c
d,c
a,d
c,d
a,d
a,b
b,d
d,d
b,a
c,a
d,d
b,a
a,c
d,b
b,a
d,b
a,c
d,d
a,d
c,c
b,b
a,a
b,d
c,d
d,c
c,c
b,d
d,a
a,b
a,c
a,d
a,a
d,c
d,b
d,a
c,b
d,b
c,b
c,b
b,a
b,d
c,d
c,d
b,d
b,a
c,a
a,a
a,b
c,c
d,b
c,b
d,a
c,d
d,c
a,d
c,b
c,a
c,d
b,b
b,a
a,b
a,a
a,c
a,d
c,b
c,c
d,c
b,b
c,a
c,d
c,c
a,b
a,b
a,c
d,d
c,c
c,b
d,c
b,a
a,b
b,b
b,c
d,d
c,a
a,c
b,b
a,d
c,c
d,b
b,c
d,d
d,b
d,d
a,b
a,b
a,d
a,a
c,c
c,b
c,c
d,a
a,d
c,a
a,b
c,c
b,a
c,d
a,d
c,b
a,a
a,b
a,a
d,d
c,b
a,a
a,d
a,d
d,d
c,a
b,a
b,d
c,c
b,d
a,c
a,c
d,d
a,a
b,d
a,a
c,a
c,c
b,a
c,a
a,d
a,d
d,d
a,c
b,c
b,d
a,d
d,d
a,d
d,b
d,d
d,a
c,a
b,a
b,a
b,c
c,b
a,c
b,b
c,d
c,c
d,c
d,b
c,c
c,b
