var_1,var_2,var_3,var_4
b,b,f,c
a,d,c,e
c,c,f,e
b,c,d,d
c,f,b,f
e,c,f,f
b,e,c,f
a,c,b,a
c,c,f,d
a,c,b,d
e,b,b,e
a,f,e,b
c,a,e,d
f,c,b,b
b,f,c,f
b,c,e,d
f,f,a,b
f,a,b,c
c,c,d,c
d,c,e,c
e,e,c,e
f,b,f,e
b,a,a,a
f,b,b,e
a,c,f,d
d,e,f,c
e,c,c,d
e,d,e,f
b,e,d,c
d,c,c,a
c,a,e,d
c,a,b,a
e,c,e,d
a,b,b,c
a,f,e,c
c,f,b,c
d,f,a,b
d,d,d,e
c,a,f,e
e,f,c,b
e,e,b,c
b,e,a,b
e,b,b,a
f,c,f,c
d,c,b,d
f,f,b,c
d,e,e,f
d,c,f,a
a,f,a,f
d,a,a,c
c,f,d,e
a,d,a,f
f,a,e,b
d,c,c,d
c,b,b,c
a,a,f,c
a,c,f,c
d,d,a,b
d,e,e,a
e,a,e,b
d,c,a,d
a,f,c,a
b,f,f,e
a,b,c,a
e,d,f,a
a,f,a,c
a,a,b,f
f,f,e,a
b,a,a,d
f,a,f,f
f,f,f,f
d,b,d,a
f,a,b,c
a,a,c,f
d,a,c,a
d,c,f,c
c,c,c,a
f,b,d,e
e,d,c,c
b,d,b,e
e,f,e,e
f,c,a,c
a,e,a,b
d,b,a,b
e,d,d,a
b,a,c,f
c,e,a,c
e,c,e,a
f,d,a,e
d,c,d,c
f,a,d,a
f,a,b,f
e,f,f,e
e,d,b,c
d,e,c,a
b,b,b,c
a,d,e,a
b,c,c,a
d,d,c,d
c,c,b,c
f,a,a,a
d,e,d,e
b,f,e,c
e,e,b,b
a,d,c,e
a,d,b,c
e,d,c,c
b,d,d,e
a,e,c,f
e,a,e,d
d,c,e,d
b,b,d,c
b,f,c,a
e,c,e,e
f,c,f,b
e,e,f,f
a,c,f,d
a,f,e,b
d,c,c,d
f,c,d,c
f,e,b,c
e,b,d,f
d,d,b,c
c,a,b,b
f,f,a,a
e,e,d,b
e,e,b,b
e,e,c,b
a,b,b,f
a,a,a,e
d,b,c,c
d,d,e,b
c,e,a,e
b,c,f,c
e,f,e,a
d,f,a,f
e,f,c,e
a,c,e,f
e,c,b,b
c,a,f,f
c,b,e,c
e,f,e,c
b,e,e,c
d,c,e,b
b,c,b,e
d,e,c,f
c,d,e,f
e,a,a,e
b,b,c,b
d,a,f,f
d,b,b,d
a,e,d,e
f,e,f,a
e,f,e,f
c,f,f,a
a,a,c,d
f,f,e,e
c,f,e,c
a,c,a,d
c,b,f,d
f,e,e,c
e,e,d,e
b,d,d,d
e,b,b,d
a,e,d,a
c,b,b,c
e,c,f,d
a,c,b,d
f,d,d,e
f,a,f,e
c,f,f,a
b,d,f,f
f,c,f,e
c,c,f,d
d,d,e,d
e,e,f,f
b,b,a,d
c,a,f,b
e,e,d,e
d,f,a,f
