var_1,var_2,var_3,var_4,var_5
c,c,f,e,c
b,a,a,a,d
d,d,a,b,f
a,b,d,e,d
f,b,d,a,f
f,b,f,a,a
e,a,c,a,e
d,a,b,e,a
c,a,b,c,f
a,b,e,f,e
b,c,b,a,d
b,f,e,b,e
b,c,c,a,f
e,a,d,b,e
c,e,e,c,a
d,f,f,f,b
b,e,a,f,c
d,d,d,e,a
e,a,b,e,a
d,e,a,d,a
f,b,a,c,c
d,b,b,c,f
a,d,f,a,e
a,b,b,f,c
b,c,a,b,b
f,a,e,d,b
f,e,c,e,e
a,c,c,e,e
d,b,b,b,f
b,b,f,a,c
b,b,f,c,f
c,d,b,a,c
a,a,a,c,d
b,a,d,a,e
e,f,b,c,c
a,e,a,d,a
b,e,f,f,a
e,c,f,c,f
e,f,b,b,f
c,a,e,b,c
c,d,a,a,d
a,a,e,a,e
e,a,c,a,f
e,d,d,b,f
c,c,e,d,c
b,b,f,c,c
a,e,e,d,a
c,e,d,f,a
f,e,f,d,a
b,c,e,d,e
e,d,d,d,e
a,d,e,f,f
d,e,a,e,b
b,b,a,b,f
c,e,a,e,e
f,b,f,c,f
a,b,a,d,a
f,b,c,a,c
e,e,c,b,b
b,b,c,e,a
d,b,e,b,e
c,f,a,d,f
e,e,c,a,d
d,e,e,d,c
e,d,c,b,c
b,b,b,c,c
f,f,a,d,f
e,b,e,d,e
f,b,b,c,d
e,c,c,a,d
a,d,d,c,a
e,e,b,b,a
e,c,a,d,b
d,a,b,b,d
b,c,e,f,b
e,c,e,b,c
e,e,d,d,a
b,b,c,b,c
b,d,b,f,a
d,d,a,d,e
b,b,e,c,c
e,f,e,e,f
e,b,e,f,c
e,c,d,c,c
d,b,b,a,f
c,d,b,b,a
f,a,f,e,d
c,f,a,c,a
a,f,f,c,b
f,e,d,f,d
c,e,e,d,f
a,a,c,d,c
a,f,d,d,f
b,f,a,b,f
b,d,c,a,c
e,e,e,d,f
c,f,c,a,b
c,d,d,b,e
a,b,d,a,d
a,c,b,f,e
f,d,c,a,d
d,f,b,c,b
e,d,c,a,d
b,c,d,b,d
f,e,c,c,e
b,f,b,e,c
d,f,f,d,d
f,d,d,e,f
f,c,f,d,c
e,a,b,c,f
a,b,a,f,b
e,e,c,c,b
d,f,b,e,a
c,a,a,a,e
b,b,f,e,a
a,a,f,b,d
f,d,e,d,d
d,b,b,e,b
b,f,a,c,f
e,e,e,d,d
b,e,e,b,f
e,a,b,b,d
b,e,b,f,d
a,e,f,e,c
a,b,b,b,d
d,a,a,c,a
f,a,f,d,c
b,b,f,f,b
d,b,c,d,a
c,d,d,d,b
b,b,a,a,c
d,e,a,e,c
a,e,c,a,f
f,b,f,e,a
a,c,c,a,f
e,b,b,d,b
f,a,d,b,c
d,d,b,e,a
d,b,a,b,c
a,b,a,c,d
a,d,c,e,e
d,f,e,d,d
f,a,e,a,e
d,b,b,c,e
f,e,f,b,b
e,f,f,b,e
a,f,c,a,f
e,f,d,d,b
c,e,a,f,e
a,a,d,e,e
b,e,b,a,c
b,e,f,e,c
b,b,e,d,b
b,f,c,f,e
d,e,b,f,a
f,e,f,f,c
a,b,e,a,a
c,f,c,c,e
b,f,e,b,c
a,b,f,f,d
f,e,a,c,e
a,f,e,b,a
e,a,c,d,b
e,b,d,b,f
a,c,e,f,e
e,c,f,c,b
b,f,e,c,c
c,a,f,a,d
f,c,a,e,f
c,d,d,e,d
b,b,a,c,b
b,a,c,c,c
a,e,f,e,f
e,a,c,e,d
c,b,b,a,a
e,c,f,b,e
e,c,b,f,b
c,c,f,f,b
c,d,f,f,b
d,a,c,f,a
d,b,f,c,e
d,a,d,d,c
f,e,f,c,d
f,d,f,b,d
c,f,f,e,e
e,b,f,f,c
f,f,f,e,c
b,f,f,a,d
e,b,f,c,d
e,d,a,b,b
a,a,f,f,f
b,d,a,e,d
d,a,d,b,a
e,f,a,b,b
a,f,c,a,e
a,a,b,c,c
f,e,e,d,d
e,a,d,c,f
c,a,c,d,b
b,a,f,b,f
c,f,b,a,b
