var_1,var_2
f,d
e,b
b,f
c,c
a,e
b,f
e,b
c,b
c,c
e,f
e,d
f,e
d,d
c,d
f,c
b,b
e,a
b,d
d,b
e,a
a,e
b,d
c,e
e,a
a,d
a,c
d,b
e,a
c,f
d,e
e,b
e,c
c,a
b,d
d,a
f,a
f,f
d,c
d,e
a,b
f,d
f,d
b,b
d,e
e,d
a,c
c,a
f,a
a,e
e,d
f,c
f,a
c,c
d,f
f,a
a,d
c,e
b,c
d,e
c,b
f,a
f,e
b,a
f,d
d,e
e,c
e,d
e,f
c,a
a,d
c,c
d,a
d,b
e,b
c,c
e,d
a,a
e,f
d,c
e,c
c,f
a,b
d,d
d,f
b,a
f,f
d,e
f,c
c,c
a,a
f,c
c,d
e,e
e,a
d,c
b,a
d,c
f,c
c,d
e,e
a,d
d,b
e,c
e,b
f,c
e,d
a,b
f,c
f,c
b,b
c,f
f,e
b,e
f,b
c,a
f,e
a,e
d,f
c,e
b,a
e,f
d,c
d,a
f,a
c,c
d,d
a,b
f,f
a,b
a,d
c,e
b,a
b,c
a,f
c,d
e,f
c,e
e,c
b,d
c,f
f,d
b,b
d,b
b,f
a,a
a,e
c,a
d,e
b,a
d,b
c,e
e,c
e,b
f,e
b,d
d,f
c,a
f,c
e,e
c,c
a,b
f,e
d,b
e,f
c,c
a,b
e,e
c,b
b,b
f,e
b,d
e,f
b,b
c,b
c,c
e,d
e,c
a,c
a,c
b,f
c,f
b,d
e,c
a,b
c,d
a,f
f,e
e,f
e,f
b,c
f,b
e,f
b,d
d,a
c,d
c,a
e,a
c,d
f,e
e,b
d,f
f,e
e,a
e,e
d,a
f,c
c,b
c,c
d,a
c,e
e,a
e,d
d,b
b,f
f,a
d,b
e,a
d,c
f,c
b,b
d,f
e,d
b,f
a,c
a,e
c,b
a,b
d,a
a,a
c,e
c,b
b,d
f,a
e,f
b,b
a,b
b,b
e,d
f,a
c,a
d,d
e,c
f,e
e,c
a,b
b,d
d,c
c,e
f,d
e,c
e,e
b,a
d,e
d,d
b,d
e,c
f,f
b,e
d,d
a,e
d,e
f,f
e,a
c,f
a,b
a,d
a,c
b,b
c,c
c,a
d,c
d,d
b,b
d,f
e,c
e,a
e,b
a,c
e,e
b,e
e,e
e,f
e,c
d,b
f,c
d,e
e,d
c,f
d,f
c,c
d,a
f,d
a,a
d,d
e,d
c,e
a,a
c,a
e,b
f,c
f,e
e,c
c,d
b,e
b,b
a,b
d,c
b,f
c,f
c,f
f,f
e,a
d,f
c,c
e,d
c,b
c,d
c,c
a,a
f,a
c,f
b,b
a,c
c,a
b,e
c,c
e,c
b,f
e,a
b,c
e,d
c,b
a,e
e,c
e,f
a,a
f,e
e,d
c,a
f,d
f,e
a,d
f,d
f,b
a,f
f,c
d,d
f,e
a,f
c,e
f,a
e,a
e,a
e,c
d,f
a,e
e,d
a,a
a,a
f,f
b,c
d,d
d,a
c,d
e,f
f,c
d,a
b,b
c,c
b,d
a,f
f,a
f,f
e,c
d,d
c,f
e,e
e,f
b,b
a,a
e,f
c,e
c,c
f,b
c,f
d,a
e,f
b,d
d,f
e,c
e,b
f,e
e,b
c,a
d,b
e,c
d,a
a,d
e,b
a,f
f,a
a,a
a,d
b,a
e,a
e,f
e,d
b,d
b,c
e,a
f,e
c,e
a,c
e,f
e,b
d,c
f,e
a,d
c,d
e,a
d,a
d,b
e,c
b,a
a,e
e,e
c,a
e,c
b,b
b,b
f,c
e,d
c,a
e,b
c,f
a,a
b,b
c,d
e,c
d,b
c,f
d,a
f,d
c,a
d,b
d,a
c,c
d,e
b,c
b,e
c,e
a,a
c,a
b,b
d,c
c,a
f,a
a,e
a,b
d,e
a,a
d,d
b,e
c,c
e,c
d,a
f,a
e,d
c,f
d,e
b,b
a,c
c,d
a,e
a,e
f,e
d,e
f,b
f,d
b,f
e,f
e,c
f,f
c,f
f,d
d,c
a,a
a,d
e,c
a,b
f,f
b,b
b,a
d,d
e,d
e,c
f,e
d,d
d,d
d,c
