var_1,var_2,var_3,var_4
b,e,e,a
e,f,b,c
f,a,b,b
a,a,d,a
a,c,f,a
a,c,f,f
a,f,b,c
e,f,f,b
c,e,e,f
a,d,c,b
d,e,a,c
b,d,b,f
a,e,a,d
e,f,b,a
b,b,c,f
e,d,c,e
d,a,e,e
f,a,f,c
b,f,b,a
a,b,e,b
a,b,a,a
d,d,c,c
c,a,a,e
d,a,f,e
a,e,b,f
a,e,a,a
e,b,b,a
a,a,e,a
e,c,a,f
c,d,a,c
d,c,a,d
b,a,e,c
c,a,e,d
d,f,a,f
c,d,f,c
a,b,b,b
a,e,a,e
c,b,e,d
c,d,d,a
a,f,b,f
b,e,b,d
c,e,d,f
c,f,e,d
c,a,d,f
d,e,f,d
d,a,a,d
f,b,b,e
b,b,b,a
a,c,d,b
a,e,a,e
b,a,e,c
a,d,b,f
a,e,b,a
f,c,c,f
b,b,e,a
c,e,d,d
e,b,b,b
a,a,d,d
e,b,e,f
e,c,b,a
f,c,f,f
e,d,b,b
f,b,e,c
a,e,c,a
a,e,e,d
a,f,f,b
a,d,b,b
c,c,c,b
b,b,f,f
c,e,e,f
e,a,a,d
c,b,f,a
c,e,e,a
a,f,c,f
b,a,d,e
a,e,c,f
a,b,e,b
d,f,e,b
a,d,f,e
a,a,e,c
e,c,c,d
c,a,c,d
c,e,e,e
c,e,f,a
a,c,c,c
b,d,f,f
e,e,e,a
b,a,b,d
e,b,a,e
a,b,d,b
b,a,c,b
e,f,c,c
e,b,f,b
a,d,e,f
c,a,b,c
c,b,c,b
e,a,e,f
b,a,a,d
e,e,d,c
a,d,f,d
a,b,b,c
c,d,a,b
f,a,f,f
d,e,e,c
d,a,b,d
d,a,b,a
a,c,a,b
a,d,d,a
b,c,a,e
c,f,b,f
e,c,b,d
f,d,e,e
c,d,f,a
b,f,b,c
e,b,e,f
e,a,c,f
f,d,c,b
b,d,f,e
d,d,f,a
c,b,f,b
f,c,b,f
a,b,a,d
d,f,f,e
c,b,d,a
a,c,f,f
d,b,b,d
a,f,a,b
b,c,a,a
a,f,e,b
b,d,e,d
d,d,e,c
f,e,b,e
d,a,e,a
a,c,c,c
e,e,e,c
d,d,c,f
e,b,b,b
d,a,f,e
e,c,b,d
e,c,b,a
e,a,f,b
f,d,e,b
a,f,b,d
f,a,e,e
a,a,c,f
e,e,d,d
e,d,e,c
c,d,f,a
f,b,d,e
e,b,c,a
e,b,f,c
d,a,a,a
d,f,d,f
d,d,e,f
f,d,d,e
a,b,c,f
e,f,c,c
b,c,c,d
d,f,a,f
e,c,a,a
a,c,c,f
c,d,c,c
c,f,e,d
d,c,a,f
e,b,a,e
a,b,a,d
d,d,c,d
d,b,c,f
f,c,b,a
b,b,d,a
a,c,b,d
d,e,d,d
a,b,e,f
f,f,a,b
e,a,d,c
d,e,a,f
a,a,f,e
e,d,a,b
b,c,a,e
b,a,e,e
e,c,f,c
a,e,c,b
f,b,e,e
a,f,a,f
f,d,a,a
a,e,a,e
a,d,a,c
c,c,a,c
c,c,a,a
c,a,b,f
b,f,a,c
e,d,b,e
a,b,d,f
a,e,b,f
e,d,c,f
f,a,a,e
a,e,d,e
f,f,b,b
b,d,c,c
d,f,c,f
e,a,a,d
a,d,a,d
d,b,a,f
c,d,e,f
c,b,a,a
b,b,b,a
a,f,e,f
e,d,f,a
d,a,d,b
e,d,b,a
a,b,b,b
f,c,f,b
a,f,e,b
f,f,e,e
f,b,f,f
c,d,e,e
a,b,b,f
e,f,e,b
a,c,e,d
d,f,c,e
c,f,c,e
d,e,f,e
d,d,f,f
e,a,a,a
e,c,e,f
e,e,b,c
c,a,e,e
c,b,a,d
b,b,a,f
c,d,c,e
e,f,b,f
b,d,b,c
d,b,f,f
b,d,c,f
a,a,e,d
a,c,b,c
a,f,c,f
d,a,b,e
b,b,e,d
f,a,a,c
c,e,c,f
d,f,b,f
e,d,f,d
e,e,e,d
c,f,b,b
f,b,f,d
c,f,f,b
e,e,a,a
b,e,a,a
d,f,a,f
e,d,f,c
f,f,f,f
c,d,f,b
e,e,b,b
a,e,e,d
d,c,e,a
a,c,c,d
f,d,e,c
a,d,c,e
a,e,e,b
c,f,e,b
f,d,c,f
a,f,d,c
c,c,c,c
a,a,e,f
a,f,b,f
c,a,f,d
f,e,d,d
c,b,b,a
a,b,e,d
a,a,d,f
c,e,b,c
e,e,f,c
f,c,c,d
d,a,c,e
d,c,a,c
b,c,b,d
a,a,b,f
a,c,c,d
f,d,b,a
a,d,b,f
d,c,a,f
d,f,e,f
c,f,d,f
e,a,e,f
f,c,b,f
e,e,b,f
e,e,a,a
f,c,a,a
a,b,a,b
a,f,a,d
b,e,c,b
a,a,c,a
c,a,c,f
d,a,a,b
e,c,c,b
c,b,f,a
a,b,f,f
d,d,c,c
b,a,c,f
b,e,c,e
d,c,e,a
d,e,b,f
f,d,a,c
a,b,d,a
a,f,a,f
a,e,d,f
a,e,a,a
d,c,b,d
f,c,c,e
d,c,d,a
a,b,c,f
b,d,a,c
a,a,c,f
f,e,f,b
e,f,d,d
e,e,e,b
e,a,a,c
d,b,e,d
b,c,b,c
e,c,a,f
f,f,e,d
f,c,f,c
e,c,d,a
a,a,a,a
e,c,d,b
b,d,d,e
e,c,b,d
d,b,f,f
c,a,d,a
e,f,a,c
e,f,d,b
a,c,e,e
d,b,d,d
e,a,f,b
f,b,c,d
e,f,c,c
b,e,e,a
c,b,f,e
c,b,e,c
b,b,c,f
f,d,b,f
b,b,b,e
a,d,e,c
a,c,a,d
b,a,c,e
e,e,d,b
c,d,c,f
d,d,d,f
f,c,d,f
a,b,c,e
b,b,b,d
d,b,f,d
a,a,f,f
c,c,c,e
e,d,e,a
e,f,f,a
a,a,b,b
a,b,d,b
b,c,f,a
d,a,f,d
c,c,b,b
f,b,b,a
a,e,c,b
c,c,e,c
b,a,c,e
e,b,f,b
a,f,a,c
b,a,d,a
f,b,c,b
c,c,b,f
a,b,a,e
d,c,c,d
d,a,c,e
c,e,f,e
e,b,d,c
f,c,b,b
d,a,f,f
d,f,d,b
d,b,e,c
d,e,e,a
e,c,c,d
e,a,f,e
b,e,c,b
b,f,b,e
c,f,c,e
d,c,d,e
f,f,f,f
c,c,a,d
b,a,a,a
d,e,f,c
e,e,d,f
b,f,b,b
b,b,a,d
c,f,e,e
d,a,b,e
c,b,f,b
c,e,c,e
a,f,b,c
e,b,b,e
c,b,a,b
a,b,a,d
a,d,b,c
f,f,b,e
d,a,a,f
e,d,c,f
a,e,d,a
c,b,b,b
c,a,b,e
d,b,e,b
c,d,f,a
d,d,a,f
a,a,e,d
a,a,a,a
d,f,a,b
e,b,a,e
a,a,c,e
a,e,e,b
e,a,f,f
e,b,e,e
c,c,b,f
c,e,b,a
c,e,e,c
f,c,a,b
a,c,a,f
e,b,c,b
c,f,d,b
c,e,e,b
d,f,e,d
f,f,f,a
e,a,d,f
f,d,d,e
a,f,a,b
d,f,c,a
e,c,f,c
a,d,c,e
c,f,f,e
e,e,d,f
f,b,b,a
a,d,a,c
a,b,f,c
c,b,a,f
f,e,f,c
a,b,a,a
c,d,d,f
e,e,f,c
a,c,e,d
a,d,a,a
a,c,b,c
f,b,f,d
e,d,b,c
a,b,e,f
e,e,c,f
b,d,f,c
c,b,a,c
e,b,c,d
b,b,a,e
c,e,e,a
a,f,d,b
c,d,c,c
a,d,c,a
c,c,d,f
f,b,e,e
e,b,c,b
d,b,f,c
e,b,c,b
b,b,c,b
f,e,e,a
e,b,a,f
f,d,d,e
f,c,f,b
b,a,a,f
e,e,d,e
a,e,b,b
f,d,c,b
e,d,d,f
b,d,a,e
e,f,e,b
b,e,c,b
f,e,a,a
e,c,d,a
c,c,a,c
f,c,e,e
d,c,d,f
b,e,a,c
c,a,c,c
e,b,e,e
c,f,d,b
e,b,d,e
a,f,f,f
f,c,e,e
d,f,f,e
f,b,f,e
c,f,e,a
f,e,d,e
b,c,b,d
b,d,b,d
d,e,f,e
f,e,b,f
c,d,c,f
