var_1,var_2,var_3,var_4,var_5,var_6
c,d,d,f,b,e
f,e,c,d,c,b
b,b,a,f,e,f
e,b,f,f,f,b
d,c,e,d,c,d
e,c,e,d,e,b
e,e,b,d,f,a
b,e,e,f,c,a
c,d,e,a,a,f
a,f,c,b,d,e
f,d,d,b,f,a
c,f,c,e,d,d
e,d,d,c,a,d
d,a,f,a,d,c
e,b,c,e,c,a
d,e,c,c,e,e
f,a,d,b,a,d
b,a,e,d,c,b
a,e,e,f,c,f
b,b,b,a,c,a
e,c,d,b,b,b
b,f,c,d,e,b
a,a,d,c,d,b
b,a,e,f,b,a
e,d,a,e,e,c
d,d,f,f,c,d
e,b,a,f,d,b
d,b,e,f,d,c
d,c,c,e,c,c
d,f,e,b,d,f
f,c,d,a,a,e
e,a,c,d,a,a
e,a,b,d,d,f
f,e,f,d,d,d
a,f,e,a,d,f
d,b,a,e,c,a
c,d,d,c,c,c
a,a,a,a,d,c
a,f,a,f,c,a
e,e,e,e,b,f
c,a,f,e,f,b
a,d,e,e,d,b
a,e,b,a,b,d
a,a,b,e,b,a
c,d,e,a,c,c
f,e,e,e,a,d
d,b,a,c,c,a
c,b,e,f,e,c
e,c,f,b,c,d
c,d,f,c,a,b
c,a,b,f,b,d
e,b,f,a,f,d
a,b,a,f,a,a
c,b,e,e,a,e
c,b,b,f,d,d
d,d,a,a,a,e
d,c,d,b,c,e
b,e,f,d,c,e
e,e,b,e,a,a
d,e,a,f,e,e
b,c,e,e,b,d
c,f,a,b,b,b
d,b,b,d,f,a
b,b,c,f,b,a
e,d,b,e,d,b
c,e,e,a,e,d
c,d,a,b,c,c
a,f,c,b,d,b
c,c,e,d,a,a
a,d,e,e,a,a
d,a,d,a,a,c
a,b,e,f,c,a
a,f,d,b,e,f
b,e,c,c,f,c
b,a,b,f,e,d
e,d,c,a,b,f
e,b,a,f,c,d
f,c,b,d,d,c
e,f,e,c,e,d
e,c,f,d,d,d
e,c,c,d,b,c
a,f,c,f,e,f
a,d,c,c,b,f
a,d,e,c,c,b
b,c,c,d,a,a
c,f,e,e,d,e
a,d,b,f,f,e
c,a,d,a,c,f
d,d,d,a,e,f
e,b,d,b,f,f
c,c,c,c,f,c
d,e,b,d,b,b
d,f,e,b,a,b
c,f,b,f,d,b
a,a,a,d,c,f
a,b,e,b,a,e
d,a,b,b,d,b
c,a,f,e,a,d
d,d,f,d,d,e
e,f,e,a,d,b
e,a,a,d,f,e
a,b,d,c,e,b
a,a,e,c,f,b
f,d,f,e,f,d
e,a,a,a,d,d
f,e,e,f,e,f
b,c,d,b,f,f
b,a,f,f,a,b
a,a,d,c,e,f
a,e,f,e,e,e
d,c,a,a,e,a
f,f,f,a,e,f
d,f,f,a,d,d
b,e,a,d,d,e
c,e,b,e,a,b
d,a,e,e,a,f
e,a,c,b,f,c
b,f,e,b,e,c
d,f,b,f,d,c
a,b,a,b,c,c
b,c,c,a,e,d
e,b,e,c,f,d
b,b,e,c,f,c
d,b,f,d,d,f
b,d,e,e,f,a
b,e,c,a,e,a
e,e,a,b,b,c
b,b,d,b,e,f
b,c,b,d,d,e
c,f,b,f,e,f
