"var_1","var_2","var_3","var_4","var_5","var_6","var_7","var_8","var_9","var_10"
"K","K","E","C","D","O","M","E","I","L"
"O","F","K","O","C","H","G","N","M","B"
"H","D","E","M","E","E","L","D","D","H"
"K","N","B","A","N","N","M","I","J","B"
"E","N","L","I","E","I","A","N","E","M"
"C","J","K","O","B","F","B","N","N","K"
"L","D","O","I","N","G","G","O","E","O"
"M","L","N","B","N","B","B","D","N","D"
"J","M","B","J","I","B","K","N","M","D"
"G","E","N","J","J","F","H","D","M","G"
"F","G","N","K","F","L","M","D","M","M"
"M","O","K","C","J","M","G","L","I","B"
"O","A","C","G","C","C","O","I","D","F"
"A","B","K","M","M","N","L","G","M","K"
"K","D","B","G","L","K","I","A","E","E"
"J","A","A","N","C","C","F","E","L","F"
"O","L","L","B","O","C","H","G","B","I"
"D","M","H","G","C","F","N","A","C","M"
"J","J","E","K","I","A","C","E","N","G"
"H","K","G","J","D","N","O","C","C","L"
"J","G","C","M","B","L","O","E","D","I"
"F","D","G","D","K","C","I","E","M","M"
"A","E","A","J","E","B","B","F","J","E"
"L","G","I","F","M","G","G","I","O","B"
"J","K","H","B","J","B","M","H","F","H"
"C","B","J","G","M","G","C","N","D","N"
"D","K","E","D","F","E","N","G","D","L"
"O","F","H","J","F","I","N","D","B","I"
"O","F","K","G","E","L","I","I","C","G"
"N","O","H","L","M","O","D","C","A","N"
"L","I","M","O","E","H","I","D","H","E"
"B","L","F","G","N","H","O","N","M","C"
"C","C","N","F","O","E","B","J","J","H"
"I","J","I","O","A","I","C","L","E","O"
"H","J","M","D","J","L","C","O","M","J"
"G","C","C","I","B","J","J","L","N","D"
"G","I","F","I","O","E","K","O","M","M"
"D","B","H","M","D","J","C","A","L","G"
"N","G","E","A","D","M","A","F","D","H"
"D","H","L","N","L","O","D","M","O","M"
"G","E","G","F","F","D","M","L","H","A"
"O","O","I","B","J","O","G","C","E","C"
"B","L","F","G","N","K","G","A","L","I"
"O","H","J","F","E","E","H","J","A","K"
"H","I","L","A","I","I","L","D","E","G"
"D","O","D","M","K","K","F","L","K","F"
"I","H","A","A","J","H","J","L","H","L"
"E","O","J","H","J","H","F","M","I","B"
"G","O","G","O","M","A","E","J","A","N"
"I","O","L","C","G","B","F","H","E","K"
"K","O","K","J","E","A","E","L","J","K"
"L","A","E","L","M","C","E","H","N","J"
"C","J","A","A","G","H","M","C","J","C"
"J","K","I","J","B","E","F","D","J","H"
"A","A","I","F","H","B","K","O","B","D"
"N","K","E","L","J","J","E","M","B","N"
"M","O","D","E","D","C","D","N","D","F"
"G","A","C","K","H","B","D","B","G","K"
"L","E","I","D","G","N","B","G","E","M"
"L","F","J","C","C","A","J","I","A","N"
"O","M","O","D","A","L","O","G","I","B"
"N","J","O","A","N","L","O","O","J","O"
"G","J","O","M","I","I","B","J","E","A"
"I","G","C","B","A","B","N","B","C","I"
"O","M","I","A","A","L","B","D","E","E"
"F","B","N","M","A","D","O","M","C","K"
"F","B","A","A","F","N","N","F","M","J"
"E","K","I","A","G","E","E","B","E","L"
"C","A","B","F","I","C","D","L","A","E"
"F","H","A","M","H","C","M","A","B","D"
"M","G","K","F","I","F","L","G","H","N"
"M","M","N","E","F","K","M","F","H","J"
"L","G","F","J","N","B","F","M","D","G"
"F","N","A","I","K","F","E","N","A","L"
"D","A","H","H","A","M","O","H","L","O"
"A","J","I","I","L","F","J","L","K","F"
"H","C","G","J","L","C","C","H","N","I"
"L","K","N","H","C","M","M","K","B","A"
"D","C","O","J","L","F","J","C","F","A"
"C","A","J","J","O","E","H","D","L","B"
"M","J","M","O","G","L","D","D","J","M"
"F","I","N","M","J","E","E","B","E","K"
"O","G","O","J","O","D","J","L","N","K"
"G","F","D","K","A","M","I","N","N","K"
"H","J","I","F","D","I","K","F","C","H"
"A","G","J","I","B","G","B","G","J","N"
"E","E","N","E","J","B","G","M","A","H"
"F","J","A","G","N","L","O","A","M","J"
"C","I","E","F","O","E","H","K","A","N"
"H","B","F","N","I","I","I","F","D","G"
