"var_1","var_2","var_3","var_4","var_5","var_6","var_7","var_8","var_9","var_10","var_11","var_12","var_13","var_14","var_15","var_16","var_17","var_18","var_19","var_20"
"A","A","B","A","A","B","B","B","A","B","B","A","B","B","A","B","B","A","B","A"
"A","A","B","B","B","B","A","B","B","B","A","A","A","B","B","A","B","B","B","B"
"B","B","B","B","B","B","A","A","A","A","A","A","A","B","A","A","B","A","B","B"
"B","B","B","A","B","B","B","B","B","B","A","A","B","A","A","B","A","A","B","B"
"A","B","B","A","B","A","B","B","B","A","B","A","A","B","A","A","B","A","B","A"
"A","B","A","B","B","B","A","A","A","B","B","A","B","B","A","B","B","B","A","B"
"A","B","A","B","A","B","A","B","A","A","B","A","B","B","A","B","A","A","A","B"
"A","A","B","B","B","A","B","B","B","A","A","B","B","B","A","A","B","B","B","B"
"B","A","A","A","B","B","A","A","B","B","B","B","A","A","A","A","B","B","A","B"
"A","B","A","B","A","B","B","A","B","A","A","B","B","B","B","B","B","B","B","A"
"B","A","A","B","A","B","B","A","B","B","B","B","B","B","B","B","A","A","A","B"
"A","A","A","B","B","A","B","A","B","A","B","A","B","B","B","A","A","A","B","A"
"A","A","B","B","B","A","A","B","B","B","B","B","B","A","A","A","B","A","A","A"
"B","B","B","A","B","B","B","B","A","A","A","A","A","B","B","A","B","A","A","B"
"B","A","A","A","B","B","B","B","A","A","A","B","B","A","B","A","B","B","A","A"
"A","B","A","B","B","A","B","A","B","B","A","A","B","B","B","B","A","A","A","B"
"A","B","B","A","A","A","A","B","B","B","B","B","A","B","B","A","B","B","A","A"
"A","B","A","A","B","A","A","A","B","B","B","B","B","B","B","A","A","A","B","B"
"A","A","A","B","B","A","B","A","B","A","B","A","B","A","B","A","A","A","B","A"
"B","A","A","B","A","B","A","A","B","A","A","A","A","B","B","B","B","A","A","B"
"A","B","A","A","B","A","B","A","A","B","A","B","B","A","A","A","B","A","A","B"
"A","B","B","A","B","A","B","A","A","B","A","B","B","B","A","B","B","A","B","B"
"B","B","A","A","B","A","A","B","B","A","B","A","A","B","A","A","B","B","B","B"
