type,rows,cols,vals,n,duration
synthpop,1000,10,5,1,0.199999999999996
synthpop,1000,10,10,1,0.451
synthpop,1000,10,20,1,237.525
synthpop,1000,15,5,1,0.367999999999995
synthpop,1000,15,10,1,1.37100000000004
synthpop,1000,15,20,1,907.071
synthpop,1000,20,5,1,0.666999999999916
synthpop,1000,20,10,1,2.88800000000015
synthpop,1000,20,20,1,1874.709
synthpop,5000,10,5,1,0.672000000000025
synthpop,5000,10,10,1,1.21500000000015
synthpop,5000,10,20,1,465.151
synthpop,5000,15,5,1,1.27800000000025
synthpop,5000,15,10,1,3.75900000000001
synthpop,5000,15,20,1,2220.744
synthpop,5000,20,5,1,2.15400000000045
synthpop,5000,20,10,1,7.8100000000004
synthpop,5000,20,20,1,6516.796
synthpop,1000,10,15,1,7.234
synthpop,1000,15,15,1,24.167
synthpop,1000,20,15,1,51.254
synthpop,5000,10,15,1,18.289
synthpop,5000,15,15,1,102.36
synthpop,5000,20,15,1,336.757
