epochs, loss_g, loss_d
Epoch 1, Loss G: -0.0685,Loss D:  0.0514
Epoch 2, Loss G: -0.3354,Loss D:  0.2880
Epoch 3, Loss G: -0.1122,Loss D:  0.0470
Epoch 4, Loss G:  0.2126,Loss D: -0.3662
Epoch 5, Loss G: -0.1273,Loss D:  0.0040
Epoch 6, Loss G: -0.1004,Loss D: -0.0329
Epoch 7, Loss G: -0.2498,Loss D:  0.0036
Epoch 8, Loss G: -0.5935,Loss D:  0.1505
Epoch 9, Loss G: -0.5840,Loss D:  0.0034
Epoch 10, Loss G: -0.7118,Loss D:  0.0264
Epoch 11, Loss G: -0.6782,Loss D: -0.0684
Epoch 12, Loss G: -0.8817,Loss D:  0.0904
Epoch 13, Loss G: -0.9795,Loss D:  0.0923
Epoch 14, Loss G: -0.6857,Loss D: -0.1417
Epoch 15, Loss G: -0.9700,Loss D:  0.1324
Epoch 16, Loss G: -1.0103,Loss D:  0.0760
Epoch 17, Loss G: -0.7583,Loss D: -0.1292
Epoch 18, Loss G: -1.1144,Loss D:  0.1345
Epoch 19, Loss G: -0.9290,Loss D: -0.0627
Epoch 20, Loss G: -1.0569,Loss D:  0.0876
Epoch 21, Loss G: -0.9885,Loss D: -0.0377
Epoch 22, Loss G: -1.0838,Loss D:  0.0595
Epoch 23, Loss G: -1.0276,Loss D: -0.0464
Epoch 24, Loss G: -1.1277,Loss D:  0.0789
Epoch 25, Loss G: -1.0091,Loss D: -0.0575
Epoch 26, Loss G: -1.2716,Loss D:  0.0958
Epoch 27, Loss G: -1.2087,Loss D: -0.0469
Epoch 28, Loss G: -1.2468,Loss D:  0.0457
Epoch 29, Loss G: -1.2813,Loss D: -0.0100
Epoch 30, Loss G: -1.3202,Loss D:  0.0397
Epoch 31, Loss G: -1.4073,Loss D:  0.0218
Epoch 32, Loss G: -1.3627,Loss D: -0.0108
Epoch 33, Loss G: -1.5473,Loss D:  0.0975
Epoch 34, Loss G: -1.3821,Loss D: -0.0417
Epoch 35, Loss G: -1.5071,Loss D:  0.0268
Epoch 36, Loss G: -1.6305,Loss D:  0.0900
Epoch 37, Loss G: -1.5154,Loss D: -0.0601
Epoch 38, Loss G: -1.6966,Loss D:  0.0621
Epoch 39, Loss G: -1.6824,Loss D:  0.0385
Epoch 40, Loss G: -1.6384,Loss D: -0.0134
Epoch 41, Loss G: -1.7208,Loss D:  0.0109
Epoch 42, Loss G: -1.7165,Loss D:  0.0172
Epoch 43, Loss G: -1.7075,Loss D:  0.0214
Epoch 44, Loss G: -1.6578,Loss D: -0.0190
Epoch 45, Loss G: -1.8031,Loss D:  0.0396
Epoch 46, Loss G: -1.7818,Loss D: -0.0010
Epoch 47, Loss G: -1.7896,Loss D:  0.0205
Epoch 48, Loss G: -1.8079,Loss D:  0.0263
Epoch 49, Loss G: -1.7913,Loss D: -0.0051
Epoch 50, Loss G: -1.8374,Loss D:  0.0029
Epoch 51, Loss G: -1.7953,Loss D: -0.0151
Epoch 52, Loss G: -1.9166,Loss D:  0.0711
Epoch 53, Loss G: -1.7946,Loss D: -0.0542
Epoch 54, Loss G: -1.8927,Loss D:  0.0553
Epoch 55, Loss G: -1.8679,Loss D: -0.0040
Epoch 56, Loss G: -1.9567,Loss D:  0.0440
Epoch 57, Loss G: -2.0124,Loss D: -0.0082
Epoch 58, Loss G: -1.9519,Loss D:  0.0173
Epoch 59, Loss G: -1.9512,Loss D:  0.0201
Epoch 60, Loss G: -1.9949,Loss D:  0.0349
Epoch 61, Loss G: -2.0481,Loss D: -0.0227
Epoch 62, Loss G: -2.1537,Loss D:  0.0387
Epoch 63, Loss G: -2.1721,Loss D:  0.0244
Epoch 64, Loss G: -2.0657,Loss D: -0.0349
Epoch 65, Loss G: -2.1366,Loss D:  0.0948
Epoch 66, Loss G: -2.0929,Loss D: -0.0398
Epoch 67, Loss G: -2.2058,Loss D:  0.0484
Epoch 68, Loss G: -2.1840,Loss D: -0.0164
Epoch 69, Loss G: -2.2422,Loss D:  0.0129
Epoch 70, Loss G: -2.3226,Loss D:  0.0415
Epoch 71, Loss G: -2.2211,Loss D: -0.0121
Epoch 72, Loss G: -2.2715,Loss D:  0.0406
Epoch 73, Loss G: -2.2766,Loss D:  0.0266
Epoch 74, Loss G: -2.3148,Loss D: -0.0093
Epoch 75, Loss G: -2.3300,Loss D:  0.0286
Epoch 76, Loss G: -2.3655,Loss D:  0.0033
Epoch 77, Loss G: -2.3363,Loss D:  0.0220
Epoch 78, Loss G: -2.3332,Loss D:  0.0267
Epoch 79, Loss G: -2.3350,Loss D: -0.0126
Epoch 80, Loss G: -2.4023,Loss D:  0.0160
Epoch 81, Loss G: -2.4130,Loss D:  0.0190
Epoch 82, Loss G: -2.4119,Loss D:  0.0252
Epoch 83, Loss G: -2.3986,Loss D:  0.0002
Epoch 84, Loss G: -2.3948,Loss D:  0.0061
Epoch 85, Loss G: -2.5138,Loss D:  0.0551
Epoch 86, Loss G: -2.4205,Loss D: -0.0426
Epoch 87, Loss G: -2.5222,Loss D:  0.0678
