var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
919.0,917.0,748.0,389.0,948.0,950.0,0.0,482.0,697.0,572.0
573.0,1000.0,463.0,270.0,947.0,856.0,718.0,0.0,150.0,733.0
370.0,415.0,681.0,254.0,1000.0,781.0,870.0,590.0,765.0,133.0
782.0,435.0,777.0,244.0,675.0,686.0,312.0,697.0,124.0,428.0
942.0,749.0,228.0,739.0,370.0,847.0,944.0,100.0,972.0,851.0
286.0,784.0,959.0,115.0,682.0,791.0,684.0,122.0,900.0,840.0
607.0,872.0,474.0,919.0,993.0,739.0,342.0,671.0,540.0,483.0
412.0,1000.0,1000.0,274.0,698.0,246.0,677.0,558.0,898.0,628.0
733.0,51.0,692.0,78.0,979.0,137.0,391.0,1000.0,309.0,17.0
584.0,903.0,648.0,1000.0,669.0,282.0,660.0,352.0,1000.0,0.0
118.0,935.0,893.0,967.0,226.0,1000.0,361.0,628.0,335.0,954.0
201.0,714.0,438.0,867.0,132.0,931.0,127.0,489.0,571.0,692.0
387.0,748.0,560.0,798.0,930.0,795.0,454.0,831.0,475.0,939.0
915.0,199.0,625.0,1000.0,512.0,467.0,356.0,845.0,815.0,484.0
246.0,383.0,587.0,944.0,211.0,435.0,832.0,446.0,572.0,839.0
189.0,926.0,310.0,684.0,439.0,297.0,761.0,871.0,1000.0,1000.0
125.0,0.0,629.0,337.0,975.0,1000.0,514.0,210.0,291.0,360.0
880.0,531.0,464.0,73.0,952.0,970.0,462.0,419.0,58.0,887.0
43.0,956.0,644.0,561.0,343.0,157.0,0.0,243.0,148.0,442.0
848.0,940.0,437.0,856.0,639.0,902.0,480.0,301.0,1000.0,503.0
79.0,122.0,780.0,457.0,205.0,875.0,392.0,307.0,477.0,413.0
923.0,1000.0,567.0,835.0,586.0,983.0,798.0,880.0,837.0,879.0
153.0,524.0,348.0,310.0,313.0,174.0,769.0,362.0,762.0,910.0
904.0,412.0,527.0,598.0,86.0,799.0,192.0,460.0,999.0,416.0
766.0,87.0,363.0,456.0,895.0,804.0,572.0,714.0,272.0,903.0
669.0,451.0,923.0,602.0,875.0,982.0,827.0,352.0,763.0,335.0
888.0,348.0,30.0,255.0,972.0,1000.0,120.0,343.0,551.0,991.0
14.0,579.0,541.0,0.0,323.0,794.0,336.0,509.0,715.0,473.0
919.0,994.0,205.0,84.0,852.0,1000.0,0.0,767.0,449.0,897.0
668.0,746.0,0.0,468.0,542.0,896.0,925.0,0.0,748.0,736.0
198.0,635.0,438.0,968.0,529.0,232.0,452.0,636.0,853.0,966.0
0.0,246.0,635.0,517.0,527.0,455.0,920.0,532.0,916.0,201.0
